,sample,mean_MMI,sd_MMI,var_MMI,mean_MMI_rescale,sd_MMI_rescale,,,Subsample Count,OE_X,OE_sd,MMI_X,MMI_sd,MMI.rescale_sd,MMI.rescale_X
158,35627-ORDEQ:20000729:R:SR,0.704454995,0.033613285,0.001129853,0.965006842,0.046045596,,,,,,,,,
159,35629-ORDEQ:20000802:R:SR,0.832738698,0.023769783,0.000565003,1.140737942,0.032561347,,,,,,,,,
160,35634-ORDEQ:20000813:R:SR,0.75120449,0.020413613,0.000416716,1.029047247,0.027963853,,,,,,,,,
161,35694-ORDEQ:20150818:R:SR,0.730437507,0.029258201,0.000856042,1.000599324,0.040079727,,,,,,,,,
162,35696-ORDEQ:19980727:R:SR-1,0.77292492,0,0,1.05880126,0,,,,,,,,,
163,35702-ORDEQ:19980729:R:SR-3,0.705453301,0.030057156,0.000903433,0.966374385,0.041174186,,,,,,,,,
164,35704-ORDEQ:19980728:R:SR-1,0.736084084,0.032129055,0.001032276,1.008334362,0.044012404,,,,,,,,,
165,35708-ORDEQ:19980807:R:SR-2,0.73855208,0.027024591,0.000730328,1.011715179,0.037019988,,,,,,,,,
166,35709-ORDEQ:19980807:R:SR-3,0.759805945,0.026678321,0.000711733,1.040830062,0.036545645,,,,,,,,,
167,35711-ORDEQ:19980808:R:SR-2,0.735036367,0.033529118,0.001124202,1.006899132,0.045930299,,,,,,,,,
168,35713-ORDEQ:19980809:R:SR,0.744056657,0.030265363,0.000915992,1.019255694,0.041459401,,,,,,,,,
169,35714-ORDEQ:19980811:R:SR-1,0.803683672,0.010789663,0.000116417,1.100936537,0.01478036,,,,,,,,,
170,35715-ORDEQ:19980728:R:SR-1,0.7378082,0.016139706,0.00026049,1.010696164,0.022109186,,,,,,,,,
171,35716-ORDEQ:19980811:R:SR-1,0.751970111,0.005187408,2.69E-05,1.030096043,0.007106038,,,,,,,,,
172,35717-ORDEQ:19980811:R:SR-1,0.731334045,0.027058907,0.000732184,1.001827459,0.037066996,,,,,,,,,
173,35721-ORDEQ:19980729:R:SR-3,0.752817122,0.032613837,0.001063662,1.031256331,0.044676489,,,,,,,,,
174,35722-ORDEQ:19980729:R:SR-3,0.700170609,0.031803566,0.001011467,0.959137821,0.043566529,,,,,,,,,
175,35733-ORDEQ:19980809:R:SR-1,0.67660227,0.035179073,0.001237567,0.926852425,0.048190511,,,,,,,,,
176,35734-ORDEQ:19980808:R:SR-2,0.685839925,0.026271647,0.000690199,0.939506746,0.035988558,,,,,,,,,
177,35748-ORDEQ:19990704:R:SR,0.779240393,0.02328941,0.000542397,1.067452592,0.031903301,,,,,,,,,
178,35749-ORDEQ:19990703:R:SR,0.695292337,0.006036811,3.64E-05,0.952455256,0.008269604,,,,,,,,,
