"","sample","mean_MMI","sd_MMI","var_MMI"
"137","32489-ORDEQ:20050728:R:SR",0.693677161504408,0.0416850754980718,0.00173764551927994
"138","32490-ORDEQ:20050729:R:SR",0.604137525787093,0.0438211107029024,0.00192028974323603
"139","32556-ORDEQ:20050803:R:SR",0.602650671786827,0.0419872394430463,0.0017629282760477
"140","32576-ORDEQ:20050907:R:SR",0.633097641206082,0.0340970700572136,0.00116261018648653
"141","32577-ORDEQ:20050907:R:SR",0.645953901386132,0.0477979379631463,0.00228464287352878
"142","32585-ORDEQ:20050915:R:SR",0.658947235418993,0.0391177374890805,0.00153019738626462
"143","33336-ORDEQ:20060818:R:SR",0.695461905120896,0.0397551142609142,0.00158046910989834
"144","33342-ORDEQ:20060906:R:SR",0.676976812506958,0.0228880406805407,0.000523862406194087
"145","33419-ORDEQ:20060919:R:SR",0.707340452450356,0.0389295476561443,0.00151550968071201
"146","34468-ORDEQ:20070924:R:SR",0.742488391004669,0.0402027980779268,0.00161626497329455
"147","34470-ORDEQ:20070731:R:SR",0.749085239182077,0.0441027018597151,0.00194504831132692
"148","34471-ORDEQ:20070905:R:SR",NA,NA,NA
"149","34477-ORDEQ:20070821:R:SR",0.764498150862149,0.0350680901339481,0.00122977094564271
"150","34614-ORDEQ:20070827:R:SR",0.643620262516966,0.0372323781497436,0.0013862499826855
"151","34636-ORDEQ:20070816:R:SR",0.615852878044885,0.0553100029081021,0.00305919642169426
"152","34643-ORDEQ:20070918:R:SR",0.651038972301554,0.0335386187887667,0.00112483895025821
"153","34661-ORDEQ:20070912:R:SR",0.668198484721217,0.0362008476866682,0.00131050137323335
"154","35619-ORDEQ:20000703:R:SR",0.653203964623606,0.0513417301355429,0.00263597325331091
"155","35622-ORDEQ:20000706:R:SR",0.624991027444691,0.0540002468881263,0.00291602666397859
"156","35624-ORDEQ:20000723:R:SR",0.693434196031451,0.0369330194676118,0.00136404792699499
"157","35626-ORDEQ:20000728:R:SR",0.740144374923811,0.0405393003957072,0.00164343487657338
"158","35627-ORDEQ:20000729:R:SR",0.642676801867905,0.0433612962446107,0.00188020201201289
"159","35629-ORDEQ:20000802:R:SR",0.806948290412292,0.0404846980984893,0.00163901078012583
"160","35634-ORDEQ:20000813:R:SR",0.728219559051146,0.0466906016971033,0.00218001228683755
"161","35694-ORDEQ:20150818:R:SR",0.681828201321697,0.0296663205355193,0.000880090574116175
"162","35696-ORDEQ:19980727:R:SR-1",0.738376838478938,0.036387480657952,0.00132404874863283
"163","35702-ORDEQ:19980729:R:SR-3",0.680574724565755,0.035200818317583,0.00123909761022749
"164","35704-ORDEQ:19980728:R:SR-1",0.732967101593948,0.0211368782769159,0.000446767623293158
"165","35708-ORDEQ:19980807:R:SR-2",0.680750066128363,0.0392818471418305,0.00154306351487414
"166","35709-ORDEQ:19980807:R:SR-3",0.714275276899296,0.0307768262851491,0.000947213036186247
"167","35711-ORDEQ:19980808:R:SR-2",0.700999413107716,0.038614129981837,0.0014910510342542
"168","35713-ORDEQ:19980809:R:SR",0.68419387542538,0.0313027917128384,0.000979864769017347
"169","35714-ORDEQ:19980811:R:SR-1",0.763734344686937,0.0285679151471892,0.000816125775857005
"170","35715-ORDEQ:19980728:R:SR-1",0.711030554066255,0.0283365522099164,0.00080296019114532
"171","35716-ORDEQ:19980811:R:SR-1",0.721816653578648,0.0373318826582733,0.00139366946281109
"172","35717-ORDEQ:19980811:R:SR-1",0.702480899316632,0.037362808533065,0.00139597946147848
"173","35721-ORDEQ:19980729:R:SR-3",0.712944795008574,0.0662142096058405,0.00438432155372618
"174","35722-ORDEQ:19980729:R:SR-3",0.677164873532453,0.0458212441668995,0.00209958641700262
"175","35733-ORDEQ:19980809:R:SR-1",0.637531293942324,0.0455476894610589,0.00207459201524106
"176","35734-ORDEQ:19980808:R:SR-2",0.664701519718869,0.0315909665964034,0.000997989170495075
"177","35748-ORDEQ:19990704:R:SR",0.734042375235548,0.0309992851081225,0.000960955677214667
"178","35749-ORDEQ:19990703:R:SR",0.657505214768242,0.0295953754802676,0.000875886249818022
"179","35758-ORDEQ:19990808:R:SR",0.63177004343785,0.0308801810274356,0.000953585580287193
"180","35763-ORDEQ:19990805:R:SR",0.686374492401276,0.0351330788183897,0.00123433322725919
"181","35767-ORDEQ:19990817:R:SR",0.646110854099271,0.0383601577400863,0.0014715017018443
"182","35769-ORDEQ:19990816:R:SR",0.633085385250337,0.0328161178122516,0.00107689758826758
"183","35770-ORDEQ:19990819:R:SR",0.584999991754651,0.035864995551646,0.00128629790591959
"184","35772-ORDEQ:19990817:R:SR",0.614195709578622,0.0405951630034633,0.00164796725927776
"185","35773-ORDEQ:19990818:R:SR",0.693390719513124,0.0262216487427098,0.000687574862786056
"186","35791-ORDEQ:19990809:R:SR",0.665662584681891,0.0379291678824554,0.00143862177625549
"187","35792-ORDEQ:19990811:R:SR",0.658693852212102,0.0307772872163109,0.000947241408395292
"188","35794-ORDEQ:20150819:R:SR",0.680525729597122,0.0263608414054064,0.000694893959600988
"189","35830-ORDEQ:20000720:R:SR",0.664873498131649,0.0511197388839343,0.00261322770356163
"190","35847-ORDEQ:20020613:R:SR",0.669993258984323,0.0330632517624897,0.00109317861710978
"191","35853-ORDEQ:20010613:R:SR",0.628116511072485,0.0452615266320382,0.0020486057930627
"192","35883-ORDEQ:20020816:R:SR",0.679030107192836,0.0384742826179613,0.00148027042296676
"193","35939-ORDEQ:20090812:T:SR",0.812286120326056,0.0339350340346024,0.00115158653492963
"194","35940-ORDEQ:20090813:T:SR",0.753408769611843,0.0322191651490031,0.00103807460289873
"195","35952-ORDEQ:20090818:R:SR",0.690482483185387,0.0515797931534721,0.00266047506175497
"196","35953-ORDEQ:20090818:R:SR",0.729866363565096,0.0330890412086753,0.00109488464810941
"197","37278-ORDEQ:20140915:R:SR",0.758238686455528,0.0462597530208656,0.00213996474955148
"198","38114-ORDEQ:20150630:R:SR",0.791863985591784,0.0299054546166903,0.000894336215830922
"199","38116-ORDEQ:20150706:R:SR",0.692072288969491,0.0429407712831891,0.00184390983839516
"200","38117-ORDEQ:20150820:R:SR",0.732410970050917,0.0373323430741135,0.00139370383940331
"201","38119-ORDEQ:20150819:R:SR",0.730675780567264,0.0390037344879849,0.00152129130400922
"202","38120-ORDEQ:20150707:R:SR",0.648465160849341,0.0473828948485859,0.00224513872423215
"203","38128-ORDEQ:20150929:R:SR",0.605240127621061,0.0340216691880791,0.00115747397434309
"204","38130-ORDEQ:20151005:R:SR",0.689299475662452,0.0460637767264648,0.0021218715263056
"205","38131-ORDEQ:20151006:R:SR",0.768698383364527,0.0276645898041198,0.000765329529030211
"206","38503-ORDEQ:20150729:R:SR",0.706119800073794,0.0363197156430223,0.00131912174439
"207","38552-ORDEQ:20160802:R:SR",0.62533555349698,0.0479644085692669,0.00230058448939956
"208","38558-ORDEQ:20160720:R:SR",0.584099361040113,0.0522611180227908,0.00273122445699207
"209","38583-ORDEQ:20160818:R:SR",0.674894233370508,0.0243854206654593,0.000594648741031412
"210","38606-ORDEQ:20160927:R:SR",0.650427870196834,0.0398476867673861,0.00158783814071172
"211","505BMCMCR:20100804:T:QCFR",0.685751168421138,0.0341300562534026,0.00116486073986043
"212","505PS0110:20100803:T:SR",0.619544106794729,0.0404204116638598,0.00163380967907589
"213","526CE0061:20040803:R:SR",0.727876159973331,0.0392377709126725,0.00153960266619537
"214","526PNCAMF:20130625:T:SR",0.619672131080713,0.0399262658088716,0.00159410670144067
"215","526PS0076:20080826:T:SR",0.651975714278737,0.0373559799864367,0.00139546924074706
"216","526PS1612:20150804:T:SR",0.620557903519673,0.0628940819348211,0.00395566554242399
"217","PIBO:0904:20000820:R:SR",0.61686719726399,0.0489260780468892,0.00239376111305029
"218","PIBO_1432:20100804:R:SR",0.702193540582278,0.0338714846280455,0.00114727747090792
"219","dfw_2150:20090922:R:SR",0.591010315033898,0.0444023969406736,0.00197157285407714
"220","dfw_8008:20090818:R:SR",0.770920235427209,0.0275016384453369,0.000756340117178032
